Array;Source Name;Cell_line;ClustGroup
5500994172383112813928_C04.cel;J132_EPC04P6_SK-NEP-1_Kidney_909730;SK-NEP-1;5
5500994158987071513201_C04.cel;J132_EPC04P7_RT-112_Bladder_909704;RT-112;2
5500994172383112813930_C04.cel;J132_EPC04P8_NCI-H650_Lung:NSCLC_722066;NCI-H650;2
5500994172948120113978_C04.cel;J132_EPC04P9_RWPE-1_Prostate_1331026;RWPE-1;1
5500994173212120213068_C05.cel;J132_EPC05P10_KMOE-2_Blood_907280;KMOE-2;7
5500994157493061613625_C05.cel;J132_EPC05P1_HT-29_Intestin_905939;HT-29;2
5500994158987071513209_C05.cel;J132_EPC05P2_BT-549_Breast_905951;BT-549;4
5500994172383112813929_C05.cel;J132_EPC05P3_D-336MG_CNS_946369;D-336MG;4
5500994158987071513202_C05.cel;J132_EPC05P4_LC-2-ad_Lung_907786;LC-2-ad;2
5500994158987071513207_C05.cel;J132_EPC05P5_WM278_Skin_1240226;WM278;3
5500994172383112813928_C05.cel;J132_EPC05P6_KNS-42_CNS_907282;KNS-42;4
5500994158987071513201_C05.cel;J132_EPC05P7_PA-TU-8988T_Pancreas_1240201;PA-TU-8988T;2
5500994172383112813930_C05.cel;J132_EPC05P8_NCI-H841_Lung_1240192;NCI-H841;5
5500994172948120113978_C05.cel;J132_EPC05P9_ROS-50_Blood_1331025;ROS-50;8
5500994173212120213068_C06.cel;J132_EPC06P10_ECC4_gastrointestinal_tract_(site_indeterminate)_906850;ECC4;6
5500994157493061613625_C06.cel;J132_EPC06P1_AU565_Breast_910704;AU565;2
5500994158987071513209_C06.cel;J132_EPC06P2_CAS-1_CNS_910943;CAS-1;4
5500994172383112813929_C06.cel;J132_EPC06P3_ECC12_Stomach_906849;ECC12;6
5500994158987071513202_C06.cel;J132_EPC06P4_L-363_Blood_924239;L-363;8
5500994158987071513207_C06.cel;J132_EPC06P5_ZR-75-30_Breast_909907;ZR-75-30;6
5500994172383112813928_C06.cel;J132_EPC06P6_HSC-4_Head & Neck_907062;HSC-4;1
5500994158987071513201_C06.cel;J132_EPC06P7_PF-382_Blood_909260;PF-382;7
5500994172383112813930_C06.cel;J132_EPC06P8_NALM-6_Blood_908158;NALM-6;7
5500994172948120113978_C06.cel;J132_EPC06P9_CHSA0011_Bone_1290767;CHSA0011;4
5500994173212120213068_C07.cel;J132_EPC07P10_PWR-1E_Prostate_1330993;PWR-1E;2
5500994157493061613625_C07.cel;J132_EPC07P1_NCI-H441_Lung_908460;NCI-H441;2
5500994158987071513209_C07.cel;J132_EPC07P2_COLO-678_Intestine_910689;COLO-678;2
5500994172383112813929_C07.cel;J132_EPC07P3_EKVX_Lung_905970;EKVX;2
5500994158987071513202_C07.cel;J132_EPC07P4_LN-229_Brain_1240169;LN-229;4
5500994158987071513207_C07.cel;J132_EPC07P5_TOV-21G_Ovary_1240222;TOV-21G;2
5500994172383112813928_C07.cel;J132_EPC07P6_HN_Head & Neck_907059;HN;1
5500994158987071513201_C07.cel;J132_EPC07P7_NCI-H1395_Lung_684681;NCI-H1395;4
5500994172383112813930_C07.cel;J132_EPC07P8_NB14_PNS_949178;NB14;5
5500994172948120113978_C07.cel;J132_EPC07P9_KYAE-1_Esophagus_1503368;KYAE-1;2
5500994173212120213068_C08.cel;J132_EPC08P10_NCI-H748_lung_909194;NCI-H748;6
5500994157493061613625_C08.cel;J132_EPC08P1_SW1088_CNS_909745;SW1088;4
5500994158987071513209_C08.cel;J132_EPC08P2_Capan-2_Pancreas_910915;Capan-2;2
5500994172383112813929_C08.cel;J132_EPC08P3_HuP-T3_Pancreas_907285;HuP-T3;2
5500994158987071513202_C08.cel;J132_EPC08P4_FADU_Head & Neck_906863;FADU;2
5500994158987071513207_C08.cel;J132_EPC08P5_TGBC11TKB_Stomach_909770;TGBC11TKB;2
5500994172383112813928_C08.cel;J132_EPC08P6_HT-1080_Miscellaneous_907064;HT-1080;4
5500994158987071513201_C08.cel;J132_EPC08P7_NCI-H1755_Lung:NSCLC_908475;NCI-H1755;4
5500994172383112813930_C08.cel;J132_EPC08P8_no-11_CNS_908450;no-11;4
5500994173212120213068_C09.cel;J132_EPC09P10_MHH-NB-11_autonomic_ganglia_908135;MHH-NB-11;5
5500994157493061613625_C09.cel;J132_EPC09P1_IST-MES1_Lung_907173;IST-MES1;4
5500994158987071513209_C09.cel;J132_EPC09P2_COR-L88_Lung_906808;COR-L88;6
5500994158987071513202_C09.cel;J132_EPC09P4_G-401_Kidney_907299;G-401;5
5500994158987071513207_C09.cel;J132_EPC09P5_SNB75_CNS_905982;SNB75;4
5500994158987071513201_C09.cel;J132_EPC09P7_NCI-H1793_Lung:NSCLC_908463;NCI-H1793;2
5500994172383112813930_C09.cel;J132_EPC09P8_OACM5-1_Esophagus_1503363;OACM5-1;5
5500994172948120113978_C09.cel;J132_EPC09P9_MOLP-8_Blood_1330950;MOLP-8;8
5500994157493061613625_C10.cel;J132_EPC10P1_HCT-116_Intestin_905936;HCT-116;2
5500994158987071513209_C10.cel;J132_EPC10P2_DAN-G_Pancreas_1290797;DAN-G;1
5500994172383112813929_C10.cel;J132_EPC10P3_HGC-27_Stomach_907055;HGC-27;5
5500994158987071513202_C10.cel;J132_EPC10P4_GI-1_CNS_906871;GI-1;4
5500994158987071513207_C10.cel;J132_EPC10P5_SW900_Lung:NSCLC_724879;SW900;2
5500994172383112813928_C10.cel;J132_EPC10P6_JURL-MK1_Blood_1327771;JURL-MK1;7
5500994158987071513201_C10.cel;J132_EPC10P7_RXF393_Kidney_905978;RXF393;4
5500994172383112813930_C10.cel;J132_EPC10P8_OCI-AML5_Blood_1330983;OCI-AML5;7
5500994172948120113978_C10.cel;J132_EPC10P9_NCI-H847_Lung_1240193;NCI-H847;6
5500994157493061613625_C11.cel;J132_EPC11P1_GA-10_Blood_1303896;GA-10;8
5500994158987071513209_C11.cel;J132_EPC11P2_DOK_Head & Neck_910936;DOK;1
5500994172383112813929_C11.cel;J132_EPC11P3_H9_Blood_907043;H9;7
5500994158987071513202_C11.cel;J132_EPC11P4_MFH-ino_Misc_925343;MFH-ino;4
5500994158987071513207_C11.cel;J132_EPC11P5_SK-HEP-1_Liver_909719;SK-HEP-1;4
5500994172383112813928_C11.cel;J132_EPC11P6_JSC-1_Blood_1327769;JSC-1;8
5500994158987071513201_C11.cel;J132_EPC11P7_OSC-19_Head & Neck_1298362;OSC-19;1
5500994172383112813930_C11.cel;J132_EPC11P8_SNU-423_Liver_909737;SNU-423;4
5500994172948120113978_C11.cel;J132_EPC11P9_COLO-783_Skin_1240125;COLO-783;3
5500994157493061613625_C12.cel;J132_EPC12P1_KYSE-450_Esophag_907320;KYSE-450;2
5500994158987071513209_C12.cel;J132_EPC12P2_ES4_Bone_949156;ES4;5
5500994172383112813929_C12.cel;J132_EPC12P3_HCC-56_Intestine_1290907;HCC-56;2
5500994158987071513202_C12.cel;J132_EPC12P4_MEG-01_Blood_908126;MEG-01;7
5500994172383112813928_C12.cel;J132_EPC12P6_IPC-298_Skin_907171;IPC-298;3
5500994158987071513201_C12.cel;J132_EPC12P7_OVKATE_Ovary_1240199;OVKATE;2
5500994172383112813930_C12.cel;J132_EPC12P8_NCI-H1703_Lung:NSCLC_908474;NCI-H1703;2
5500994173212120213068_D01.cel;J132_EPD01P10_SUP-M2_Blood_1331040;SUP-M2;8
5500994157493061613625_D01.cel;J132_EPD01P1_NCI-H2052_Lung_688058;NCI-H2052;4
5500994158987071513209_D01.cel;J132_EPD01P2_697_Blood_906800;697;7
5500994172383112813929_D01.cel;J132_EPD01P3_EW-18_Bone_949164;EW-18;5
5500994158987071513202_D01.cel;J132_EPD01P4_KYSE-510_Esophagus_907321;KYSE-510;1
5500994158987071513207_D01.cel;J132_EPD01P5_ML-1_Thyroid_1240178;ML-1;4
5500994172383112813928_D01.cel;J132_EPD01P6_MDA-MB-453_Breast_908122;MDA-MB-453;6
5500994158987071513201_D01.cel;J132_EPD01P7_RCC-AB_Kidney_1524418;RCC-AB;4
5500994172383112813930_D01.cel;J132_EPD01P8_NCI-H2227_Lung_688018;NCI-H2227;6
5500994172948120113978_D01.cel;J132_EPD01P9_LP-1_haematopoietic_and_lymphoid_tissue_907791;LP-1;8
5500994173212120213068_D02.cel;J132_EPD02P10_SNU-1040_large_intestine_1659823;SNU-1040;2
5500994157493061613625_D02.cel;J132_EPD02P1_LOXIMVI_Skin_905974;LOXIMVI;2
5500994158987071513209_D02.cel;J132_EPD02P2_A388_Unknown_910697;A388;1
5500994172383112813929_D02.cel;J132_EPD02P3_A427_Lung:NSCLC_910851;A427;5
5500994158987071513202_D02.cel;J132_EPD02P4_KU812_Blood_907311;KU812;7
5500994158987071513207_D02.cel;J132_EPD02P5_MG-63_Bone_908131;MG-63;4
5500994172383112813928_D02.cel;J132_EPD02P6_S-117_Thyroid_910946;S-117;4
5500994158987071513201_D02.cel;J132_EPD02P7_RERF-GC-1B_Stomach_1240209;RERF-GC-1B;2
5500994172383112813930_D02.cel;J132_EPD02P8_NCI-H209_Lung_688013;NCI-H209;6
5500994172948120113978_D02.cel;J132_EPD02P9_NCI-H524_lung_908483;NCI-H524;6
5500994173212120213068_D03.cel;J132_EPD03P10_SCCH-196_Misc_1240211;SCCH-196;5
5500994157493061613625_D03.cel;J132_EPD03P1_HOS_Bone_907060;HOS;4
5500994172383112813929_D03.cel;J132_EPD03P3_BB49-HNC_H&N_753532;BB49-HNC;4
5500994158987071513202_D03.cel;J132_EPD03P4_K052_Blood_907284;K052;7
5500994158987071513207_D03.cel;J132_EPD03P5_M059K_Brain_1298232;M059K;4
5500994172383112813928_D03.cel;J132_EPD03P6_SK-MES-1_Lung:NSCLC_909728;SK-MES-1;4
5500994158987071513201_D03.cel;J132_EPD03P7_RMG-I_Ovary_909699;RMG-I;2
5500994172383112813930_D03.cel;J132_EPD03P8_NCI-H2291_Lung:NSCLC_724874;NCI-H2291;2
5500994172948120113978_D03.cel;J132_EPD03P9_NEC8_testis_910942;NEC8;5
5500994173212120213068_D04.cel;J132_EPD04P10_BxPC-3_Pancreas_906693;BxPC-3;1
5500994157493061613625_D04.cel;J132_EPD04P1_NCI-H28_Lung_908470;NCI-H28;4
5500994158987071513209_D04.cel;J132_EPD04P2_BEN_Lung:NSCLC_753534;BEN;6
5500994172383112813929_D04.cel;J132_EPD04P3_CCK-81_Intestine_1240123;CCK-81;2
5500994158987071513202_D04.cel;J132_EPD04P4_KCL-22_Blood_1330931;KCL-22;7
5500994158987071513207_D04.cel;J132_EPD04P5_VCaP_Prostate_1299075;VCaP;6
5500994172383112813928_D04.cel;J132_EPD04P6_SK-UT-1_Muscle_909732;SK-UT-1;2
5500994158987071513201_D04.cel;J132_EPD04P7_RVH-421_Skin_909706;RVH-421;3
5500994172383112813930_D04.cel;J132_EPD04P8_NCI-H3122_Lung_1240190;NCI-H3122;2
5500994172948120113978_D04.cel;J132_EPD04P9_CHSA8926_0_1303912;CHSA8926;4
5500994173212120213068_D05.cel;J132_EPD05P10_HuO-3N1_Bone_909977;HuO-3N1;4
5500994157493061613625_D05.cel;J132_EPD05P1_NCI-H358_Lung_908465;NCI-H358;2
5500994158987071513209_D05.cel;J132_EPD05P2_BT-483_Breast_949093;BT-483;6
5500994172383112813929_D05.cel;J132_EPD05P3_D-247MG_CNS_946367;D-247MG;4
5500994158987071513202_D05.cel;J132_EPD05P4_LAN-6_PNS_949170;LAN-6;5
5500994158987071513207_D05.cel;J132_EPD05P5_WSU-NHL_Blood_909785;WSU-NHL;8
5500994172383112813928_D05.cel;J132_EPD05P6_KP-1N_Pancreas_1298216;KP-1N;2
5500994158987071513201_D05.cel;J132_EPD05P7_PC-14_Lung:NSCLC_753608;PC-14;2
5500994172383112813930_D05.cel;J132_EPD05P8_NCI-H747_Intestine_908457;NCI-H747;2
5500994172948120113978_D05.cel;J132_EPD05P9_RPMI-8402_haematopoietic_and_lymphoid_tissue_909702;RPMI-8402;7
5500994173212120213068_D06.cel;J132_EPD06P10_Calu-3_Lung:NSCLC_687777;Calu-3;2
5500994157493061613625_D06.cel;J132_EPD06P1_Becker_CNS_906746;Becker;2
5500994158987071513209_D06.cel;J132_EPD06P2_CAMA-1_Breast_946382;CAMA-1;6
5500994172383112813929_D06.cel;J132_EPD06P3_ES5_Bone_684057;ES5;5
5500994158987071513202_D06.cel;J132_EPD06P4_LXF-289_Lung_753592;LXF-289;4
5500994158987071513207_D06.cel;J132_EPD06P5_YKG-1_Brain_687592;YKG-1;4
5500994172383112813928_D06.cel;J132_EPD06P6_HT-1376_Bladder_907066;HT-1376;2
5500994158987071513201_D06.cel;J132_EPD06P7_PFSK-1_Brain_683667;PFSK-1;5
5500994172383112813930_D06.cel;J132_EPD06P8_NCI-SNU-5_Stomach_908445;NCI-SNU-5;2
5500994172948120113978_D06.cel;J132_EPD06P9_NCI-H2110_Lung:NSCLC_1298351;NCI-H2110;2
5500994173212120213068_D07.cel;J132_EPD07P10_PCI-4B_Head & Neck_1298531;PCI-4B;1
5500994157493061613625_D07.cel;J132_EPD07P1_RS4-11_Blood_909703;RS4-11;7
5500994158987071513209_D07.cel;J132_EPD07P2_COLO-320-HSR_Intestine_910569;COLO-320-HSR;5
5500994172383112813929_D07.cel;J132_EPD07P3_EoL-1-cell_Blood_906856;EoL-1-cell;7
5500994158987071513202_D07.cel;J132_EPD07P4_LN-18_Brain_1240168;LN-18;4
5500994158987071513207_D07.cel;J132_EPD07P5_TE-12_Esophagus_946356;TE-12;1
5500994172383112813928_D07.cel;J132_EPD07P6_HA7-RCC_Kidney_753558;HA7-RCC;4
5500994158987071513201_D07.cel;J132_EPD07P7_NCI-H1581_Lung:NSCLC_908471;NCI-H1581;5
5500994172383112813930_D07.cel;J132_EPD07P8_NCC021_0_1509074;NCC021;4
5500994172948120113978_D07.cel;J132_EPD07P9_LB2518-MEL_skin_753579;LB2518-MEL;3
5500994173212120213068_D08.cel;J132_EPD08P10_NCI-H2196_lung_908481;NCI-H2196;6
5500994157493061613625_D08.cel;J132_EPD08P1_NCI-H727_Lung_724855;NCI-H727;6
5500994158987071513209_D08.cel;J132_EPD08P2_Ca-Ski_Cervix_906824;Ca-Ski;2
5500994172383112813929_D08.cel;J132_EPD08P3_HO-1-N-1_Head & Neck_924111;HO-1-N-1;1
5500994158987071513202_D08.cel;J132_EPD08P4_FU97_Stomach_1290806;FU97;6
5500994158987071513207_D08.cel;J132_EPD08P5_THP-1_Blood_909771;THP-1;7
5500994172383112813928_D08.cel;J132_EPD08P6_HPAF-II_Pancreas_724869;HPAF-II;2
5500994158987071513201_D08.cel;J132_EPD08P7_NCI-H1963_Lung_688010;NCI-H1963;6
5500994172383112813930_D08.cel;J132_EPD08P8_NY_Bone_910849;NY;4
5500994172948120113978_D08.cel;J132_EPD08P9_IOSE-523-_Ovary_1479993;IOSE-523-;4
5500994173212120213068_D09.cel;J132_EPD09P10_A704_Kidney_910920;A704;4
5500994157493061613625_D09.cel;J132_EPD09P1_NCI-H1299_Lung_724831;NCI-H1299;2
5500994158987071513209_D09.cel;J132_EPD09P2_COR-L105_Lung:NSCLC_906805;COR-L105;2
5500994172383112813929_D09.cel;J132_EPD09P3_HCC-44_Lung_1240145;HCC-44;2
5500994158987071513202_D09.cel;J132_EPD09P4_GCT_Miscellaneous_906999;GCT;4
5500994158987071513207_D09.cel;J132_EPD09P5_SNU-475_Liver_909739;SNU-475;4
5500994158987071513201_D09.cel;J132_EPD09P7_NCI-H146_Lung_910899;NCI-H146;6
5500994172383112813930_D09.cel;J132_EPD09P8_OVCAR-4_Ovary_905990;OVCAR-4;2
5500994172948120113978_D09.cel;J132_EPD09P9_TYK-nu_ovary_909774;TYK-nu;2
5500994157493061613625_D10.cel;J132_EPD10P1_COLO-800_Skin_906813;COLO-800;3
5500994158987071513209_D10.cel;J132_EPD10P2_D-502MG_CNS_946373;D-502MG;4
5500994172383112813929_D10.cel;J132_EPD10P3_HTC-C3_Thyroid_924151;HTC-C3;2
5500994158987071513202_D10.cel;J132_EPD10P4_GI-ME-N_PNS_906872;GI-ME-N;4
5500994158987071513207_D10.cel;J132_EPD10P5_SUP-B15_Blood_1247871;SUP-B15;7
5500994172383112813928_D10.cel;J132_EPD10P6_JJN-3_Blood_1327766;JJN-3;8
5500994158987071513201_D10.cel;J132_EPD10P7_QGP-1_Pancreas_1298534;QGP-1;6
5500994172383112813930_D10.cel;J132_EPD10P8_OACp4C_Esophagus_1503362;OACp4C;2
5500994172948120113978_D10.cel;J132_EPD10P9_SUP-HD1_Blood_1331039;SUP-HD1;8
5500994157493061613625_D11.cel;J132_EPD11P1_BT-474_Breast_946359;BT-474;6
5500994158987071513209_D11.cel;J132_EPD11P2_DU-145_Prostate_905935;DU-145;2
5500994172383112813929_D11.cel;J132_EPD11P3_HCC-78_Lung:NSCLC_1290908;HCC-78;2
5500994158987071513207_D11.cel;J132_EPD11P5_SK-OV-3_Ovary_905959;SK-OV-3;2
5500994172383112813928_D11.cel;J132_EPD11P6_J-RT3-T3-5_Blood_907391;J-RT3-T3-5;7
5500994158987071513201_D11.cel;J132_EPD11P7_OPM-2_Blood_909249;OPM-2;8
5500994172383112813930_D11.cel;J132_EPD11P8_SN12C_Kidney_905979;SN12C;4
5500994172948120113978_D11.cel;J132_EPD11P9_SK-CO-1_large_intestine_909718;SK-CO-1;2
5500994157493061613625_D12.cel;J132_EPD12P1_Saos-2_Bone_909707;Saos-2;4
5500994172383112813929_D12.cel;J132_EPD12P3_HCC-15_Lung_1240143;HCC-15;2
5500994158987071513202_D12.cel;J132_EPD12P4_MEC-2_Blood_1330944;MEC-2;8
5500994158987071513207_D12.cel;J132_EPD12P5_ST486_Blood_910906;ST486;8
5500994172383112813928_D12.cel;J132_EPD12P6_IA-LM_Lung_910779;IA-LM;2
5500994158987071513201_D12.cel;J132_EPD12P7_OVMIU_Ovary_1240200;OVMIU;2
5500994172383112813930_D12.cel;J132_EPD12P8_SCC-25_Head & Neck_910701;SCC-25;1
5500994173212120213068_E01.cel;J132_EPE01P10_SNU-C5_large_intestine_1674021;SNU-C5;2
5500994157493061613625_E01.cel;J132_EPE01P1_NCI-H838_Lung_910399;NCI-H838;2
5500994158987071513209_E01.cel;J132_EPE01P2_769-P_Kidney_910922;769-P;4
5500994172383112813929_E01.cel;J132_EPE01P3_EB-3_Blood_906847;EB-3;8
5500994158987071513207_E01.cel;J132_EPE01P5_ML-2_Blood_908141;ML-2;7
5500994172383112813928_E01.cel;J132_EPE01P6_SBC-5_Lung_713880;SBC-5;5
5500994158987071513201_E01.cel;J132_EPE01P7_RCM-1_Intestine_909263;RCM-1;2
5500994172383112813930_E01.cel;J132_EPE01P8_NCI-H1693_Lung:NSCLC_687802;NCI-H1693;2
5500994172948120113978_E01.cel;J132_EPE01P9_EJM_Blood_1297447;EJM;8
5500994173212120213068_E02.cel;J132_EPE02P10_SK-N-DZ_Brain_688086;SK-N-DZ;5
5500994157493061613625_E02.cel;J132_EPE02P1_NCI-H2228_Lung_687816;NCI-H2228;4
5500994158987071513209_E02.cel;J132_EPE02P2_A4-Fuk_Skin_910934;A4-Fuk;8
5500994172383112813929_E02.cel;J132_EPE02P3_A498_Kidney_905948;A498;4
5500994158987071513202_E02.cel;J132_EPE02P4_KS-1_CNS_907313;KS-1;4
5500994158987071513207_E02.cel;J132_EPE02P5_MHH-PREB-1_Blood_908136;MHH-PREB-1;8
5500994172383112813928_E02.cel;J132_EPE02P6_SR_Blood_905965;SR;8
5500994158987071513201_E02.cel;J132_EPE02P7_RERF-LC-MS_Lung:NSCLC_910931;RERF-LC-MS;2
5500994172383112813930_E02.cel;J132_EPE02P8_NCI-H2444_Lung:NSCLC_1298356;NCI-H2444;2
5500994172948120113978_E02.cel;J132_EPE02P9_CL-40_Intestine_1240124;CL-40;2
5500994173212120213068_E03.cel;J132_EPE03P10_SACC-83_Head & Neck_1299049;SACC-83;1
5500994157493061613625_E03.cel;J132_EPE03P1_LS-411N_Intestin_907794;LS-411N;2
5500994158987071513209_E03.cel;J132_EPE03P2_ARH-77_Blood_906765;ARH-77;8
5500994172383112813929_E03.cel;J132_EPE03P3_BB65-RCC_Kidney_753533;BB65-RCC;4
5500994158987071513202_E03.cel;J132_EPE03P4_KMRC-1_Kidney_1298168;KMRC-1;4
5500994158987071513207_E03.cel;J132_EPE03P5_U-266_Blood_753615;U-266;8
5500994172383112813928_E03.cel;J132_EPE03P6_SK-MG-1_CNS_909729;SK-MG-1;4
5500994158987071513201_E03.cel;J132_EPE03P7_RPMI-2650_Head & Neck_909700;RPMI-2650;5
5500994172383112813930_E03.cel;J132_EPE03P8_NCI-H520_Lung:NSCLC_908443;NCI-H520;6
5500994172948120113978_E03.cel;J132_EPE03P9_JHOS-4_Ovary_1480359;JHOS-4;2
5500994173212120213068_E04.cel;J132_EPE04P10_RCC-FG2_Kidney_1524414;RCC-FG2;4
5500994157493061613625_E04.cel;J132_EPE04P1_RKO_Intestin_909698;RKO;2
5500994158987071513209_E04.cel;J132_EPE04P2_BFTC-909_Kidney_910698;BFTC-909;4
5500994172383112813929_E04.cel;J132_EPE04P3_CCRF-CEM_Blood_905952;CCRF-CEM;7
5500994158987071513202_E04.cel;J132_EPE04P4_KOSC-2_Head & Neck_753570;KOSC-2;1
5500994158987071513207_E04.cel;J132_EPE04P5_VAL_Blood_1331048;VAL;8
5500994172383112813928_E04.cel;J132_EPE04P6_SKG-IIIa_Cervix_930298;SKG-IIIa;1
5500994158987071513201_E04.cel;J132_EPE04P7_QIMR-WIL_Blood_910545;QIMR-WIL;8
5500994172383112813930_E04.cel;J132_EPE04P8_NCI-H526_Lung_688025;NCI-H526;6
5500994172948120113978_E04.cel;J132_EPE04P9_Caov-4_ovary_949090;Caov-4;2
5500994173212120213068_E05.cel;J132_EPE05P10_KASUMI-1_Blood_907275;KASUMI-1;7
5500994157493061613625_E05.cel;J132_EPE05P1_RPMI-7951_Skin_910903;RPMI-7951;4
5500994158987071513209_E05.cel;J132_EPE05P2_BV-173_Blood_910710;BV-173;7
5500994172383112813929_E05.cel;J132_EPE05P3_D-542MG_CNS_753549;D-542MG;4
5500994158987071513202_E05.cel;J132_EPE05P4_LU-135_Lung_713899;LU-135;6
5500994158987071513207_E05.cel;J132_EPE05P5_WM35_Skin_1299080;WM35;3
5500994172383112813928_E05.cel;J132_EPE05P6_KNS-62_Lung_753569;KNS-62;1
5500994158987071513201_E05.cel;J132_EPE05P7_PC-3_[JPC-3]_Lung_1240202;PC-3;2
5500994172383112813930_E05.cel;J132_EPE05P8_NCI-H929_Blood_724825;NCI-H929;8
5500994173212120213068_E06.cel;J132_EPE06P10_CHP-126_Brain_910567;CHP-126;5
5500994157493061613625_E06.cel;J132_EPE06P1_CAL-54_Kidney_910952;CAL-54;4
5500994158987071513209_E06.cel;J132_EPE06P2_Calu-6_Lung_724859;Calu-6;2
5500994172383112813929_E06.cel;J132_EPE06P3_EW-3_Bone_949161;EW-3;5
5500994158987071513202_E06.cel;J132_EPE06P4_LS-513_Intestine_907795;LS-513;2
5500994158987071513207_E06.cel;J132_EPE06P5_U031_Kidney_905981;U031;4
5500994158987071513201_E06.cel;J132_EPE06P7_PL18_Pancreas_1240208;PL18;2
5500994172383112813930_E06.cel;J132_EPE06P8_NAMALWA_Blood_908159;NAMALWA;8
5500994172948120113978_E06.cel;J132_EPE06P9_NCI-H1836_Lung_1240182;NCI-H1836;6
5500994173212120213068_E07.cel;J132_EPE07P10_PC-3_Prostate_905934;PC-3;2
5500994157493061613625_E07.cel;J132_EPE07P1_WM-115_Skin_909784;WM-115;4
5500994158987071513209_E07.cel;J132_EPE07P2_C-33-A_Cervix_687505;C-33-A;5
5500994172383112813929_E07.cel;J132_EPE07P3_EMC-BAC-2_Esophagus_1503370;EMC-BAC-2;2
5500994158987071513202_E07.cel;J132_EPE07P4_LNZTA3WT4_Brain_1240170;LNZTA3WT4;4
5500994158987071513207_E07.cel;J132_EPE07P5_TE-11_Esophagus_946354;TE-11;1
5500994172383112813928_E07.cel;J132_EPE07P6_H4_Brain_907042;H4;4
5500994158987071513201_E07.cel;J132_EPE07P7_NCI-H1092_Lung_687997;NCI-H1092;6
5500994172383112813930_E07.cel;J132_EPE07P8_NKM-1_Blood_908448;NKM-1;7
5500994172948120113978_E07.cel;J132_EPE07P9_huH-1_Liver_1298146;huH-1;6
5500994173212120213068_E08.cel;J132_EPE08P10_NCI-H2066_Lung_1330973;NCI-H2066;2
5500994157493061613625_E08.cel;J132_EPE08P1_NCI-H2009_Lung_724873;NCI-H2009;2
